,text
0,"Оптический микроскоп или растровый электронный микроскоп, позволяющие получить нормальное увеличение не менее 20x"
1,"Бритва, позволяющая вырезать аккуратные поперечные сечения кожи"
2,"Напылительная установка, распыляющая или испаряющая, включающая подходящий элемент или сплав (например, золото) для нанесения покрытий, если используется растровый электронный микроскоп"
3,"Держатель образца, используемый в растровом электронном микроскопе"
4,Справочные материалы с известными обозначениями.
5,Для некоторых материалов необходимо использовать микроскоп с увеличением 500x
6,Стенд для испытаний вытяжек на токсичность
7,Комплект кювет
8,пробирки с притертыми пробками объемом 3 - 5 мл - 10 шт
9,"дозаторы пипеточные на объемы 0,5 мл, 0,2 мл и 0,1 мл"
10,мерные колбы с притертыми пробками объемом 50 мл
11,Весы аналитические с погрешностью взвешивания не более 1 мг
12,Пинцет анатомический длиной 250 мм
13,"Сосуд Дьюара типа СДС, объемом не менее 25 л и диаметром горла не менее 50 мм - 2 шт."
14,Весы аналитические лабораторные ВЛА-22 ГОСТ 24104-80Е
15,Барометр анероид М-67 ТУ 2504-1797-75
16,Линейка измерительная ГОСТ 17435-72
17,Лупа измерительная ГОСТ 8309-75
18,Меры массы ГОСТ 7328-82Е
19,Микрошприц МШ-10 ГОСТ 8043-74
20,Посуда мерная стеклянная ГОСТ 1770-74Е
21,Секундомер СДС пр-1-2-000 ГОСТ 5072-79
22,"Термометр лабораторный шкальный ТЛ-2, пределы 0 - 100 °С, цена деления 1 °С  ГОСТ 215-73Е"
23,"Электроаспиратор М-822, погрешность +/- 10% ТУ 64-1-862-77"
24,"Хроматографическая колонка из кварцевого стекла длиной 25 м, внутренним диаметром 0,3 мм с жидкой фазой SE-54 (толщина пленки 5 мк)"
25,"Сорбционная трубка из нержавеющей стали,длиной 82 мм, внутренним диаметром 4 мм и толщиной стенки 1 мм"
26,"Четырехходовой кран, соединенный с дополнительной съемной крышкой испарителя"
27,Дистиллятор ТУ 61-1-721-79
28,Редуктор водородный ТУ 26-05-463-76
29,Редуктор кислородный ТУ 26-05-235-70
30,Уплотняющее кольцо
31,Эксикатор
32,Хроматограф газовый модели 3700 с пламенно-ионизационным детектором или иной с близкими техническими характеристиками ТУ 25-0585.110-86
33,"Аспирационное устройство, модель 822, либо иное, позволяющее производить отбор проб со скоростью 15 дм3/мин ТУ 64-1-862-77"
34,Барометр мембранный метеорологический ГОСТ 8.431-81
35,Весы лабораторные аналитические 2-го класса точности ГОСТ 24104-80
36,Воронки делительные емкостью 25 см3 ГОСТ 8613-75
37,"Колбы мерные емкостью 100, 1000см3 ГОСТ 1770-74"
38,Линейка измерительная с ценой деления 1 мм ГОСТ 427-75
39,Линейка измерительная с ценой деления 1 мм ГОСТ 427-75
40,Лупа измерительная ГОСТ 8309-75
41,Меры массы ГОСТ 7328-82Е
42,Микрошприц 'Газохром 101' ТУ 25.02-2152-76
43,"Пипетки объемом 0,2; 1; 5; 10 см3 ГОСТ 20292-74"
44,Посуда лабораторная стеклянная ГОСТ 1770-74Е и 20292-74Е
45,"Секундомер СДС, пр-1-2-000 ГОСТ 5072-79"
46,Термометр метеорологический ТМ-1 ГОСТ 112-78Е
47,Хроматографическая колонка из стекла длиной 2 м и внутренним диаметром 3 мм
48,Аквадистиллятор ТУ 61-1-721-79
49,"Вакуумная установка УК40-20М, либо иная с близкими техническими характеристиками ТУ 64-1-2985-78"
50,"Поглотительные приборы, разработанные ВНИИ биологического приборостроения"
51,Редуктор баллонный ДКП-1-65 ГОСТ 13861-80
52,Азот в баллоне ГОСТ 9293-74
53,Воздух в баллоне ГОСТ 11882-73
54,Водород в баллоне ГОСТ 3022-89
55,Стекловата обезжиренная
56,Хроматограф газовый с пламенно - ионизационным детектором
57,Барометр-анероид М-67 ТУ 2504-1797-75
58,Весы аналитические ВЛА-200 ГОСТ 24104-80Е
59,Линейка измерительная ГОСТ 17435-72
60,Лупа измерительная ГОСТ 8309-75
61,Меры массы ГОСТ 7328-82Е
62,Микрошприц МШ-10М ГОСТ 8043-75
63,"Посуда стеклянная лабораторная ГОСТ 1770-74Е, 20292-74, 25336-82"
64,"Секундомер СДС, пр.1-2-000 ГОСТ 5072-79"
65,"Термостат лабораторный шкальный ТЛ-2, пределы 0 - 55° C, цена деления 1° C ГОСТ 215-73Е "
66,Баня водяная
67,Дистиллятор ТУ 61-1-721-79
68,Колба Вюрца
69,Микрокомпрессор РК-1 ТУ 25-056-926-77
70,Насос вакуумный водоструйный ГОСТ 10696-75
71,Редуктор водородный ТУ 26-05-463-76
72,Сорбционные трубки из молибденового стекла длиной 10 см и внутренним диаметром 3 мм
